scheduled,movie,OV,HFR,3D,begin,number visitors,filled %
01-01-2014 16:25,Walter Mitty,,,,01-01-2014 16:25,61,25.63
01-01-2014 19:30,Buddy,,,,01-01-2014 19:30,89,37.39
01-01-2014 22:25,Buddy,,,,01-01-2014 22:25,13,5.46
02-01-2014 11:20,The Little Ghost,,,,02-01-2014 11:20,27,11.34
02-01-2014 13:45,The Hunger Games: Catching Fire,,,,02-01-2014 13:45,100,42.02
02-01-2014 17:15,Walter Mitty,,,,02-01-2014 17:15,56,23.53
02-01-2014 20:15,Walter Mitty,,,,02-01-2014 20:15,198,83.19
02-01-2014 23:15,Walter Mitty,,,,02-01-2014 23:15,77,32.35
03-01-2014 11:20,The Little Ghost,,,,03-01-2014 11:20,52,21.85
03-01-2014 13:45,The Hunger Games: Catching Fire,,,,03-01-2014 13:45,73,30.67
03-01-2014 17:15,Walter Mitty,,,,03-01-2014 17:15,100,42.02
03-01-2014 20:15,Walter Mitty,,,,03-01-2014 20:15,226,94.96
03-01-2014 23:15,Walter Mitty,,,,03-01-2014 23:15,56,23.53
04-01-2014 11:20,The Little Ghost,,,,04-01-2014 11:20,47,19.75
04-01-2014 13:45,The Hunger Games: Catching Fire,,,,04-01-2014 13:45,116,48.74
04-01-2014 17:15,Walter Mitty,,,,04-01-2014 17:15,117,49.16
04-01-2014 20:15,Walter Mitty,,,,04-01-2014 20:15,2,0.84
04-01-2014 20:15,Walter Mitty,,,,04-01-2014 20:15,227,95.38
04-01-2014 23:15,Walter Mitty,,,,04-01-2014 23:15,147,61.76
05-01-2014 11:20,The Little Ghost,,,,05-01-2014 11:20,67,28.15
05-01-2014 13:45,The Hunger Games: Catching Fire,,,,05-01-2014 13:45,183,76.89
05-01-2014 17:15,Walter Mitty,,,,05-01-2014 17:15,191,80.25
05-01-2014 20:15,Walter Mitty,,,,05-01-2014 20:15,194,81.51
05-01-2014 23:15,Walter Mitty,,,,05-01-2014 23:15,22,9.24
